sep=,
File............:   - FEB;22.2023
System..........:  
Temperature.....:  -0.4+-0.1C
Time............:  16:10:15-16:11:42
Slewrate........:  200mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Cyclic voltammogram
Lines:   870
Columns: 3
Number,Time/s,Potential/V,Current/A
1,0.0,0.000,3.667e-03
2,0.1,0.000,3.578e-03
3,0.2,0.000,3.557e-03
4,0.3,0.000,3.480e-03
5,0.4,0.000,3.462e-03
6,0.5,0.000,3.401e-03
7,0.5,0.000,3.398e-03
8,0.6,0.000,3.329e-03
9,0.7,0.000,3.288e-03
10,0.8,0.000,3.278e-03
11,0.9,0.010,3.949e-03
12,1.0,0.030,4.405e-03
13,1.1,0.050,4.729e-03
14,1.2,0.070,5.054e-03
15,1.3,0.090,5.287e-03
16,1.4,0.110,5.622e-03
17,1.5,0.130,5.836e-03
18,1.6,0.150,6.076e-03
19,1.7,0.170,6.296e-03
20,1.8,0.190,6.543e-03
21,1.9,0.210,6.704e-03
22,2.0,0.230,6.878e-03
23,2.1,0.250,7.039e-03
24,2.2,0.270,7.220e-03
25,2.3,0.290,7.370e-03
26,2.4,0.310,7.529e-03
27,2.5,0.330,7.695e-03
28,2.6,0.350,7.936e-03
29,2.7,0.370,8.181e-03
30,2.8,0.390,8.369e-03
31,2.9,0.410,8.654e-03
32,3.0,0.429,8.945e-03
33,3.1,0.449,9.278e-03
34,3.2,0.469,9.571e-03
35,3.3,0.489,1.004e-02
36,3.4,0.491,8.631e-03
37,3.5,0.471,6.728e-03
38,3.6,0.451,5.514e-03
39,3.7,0.431,4.735e-03
40,3.8,0.411,4.050e-03
41,3.9,0.391,3.588e-03
42,4.0,0.371,3.170e-03
43,4.1,0.351,2.845e-03
44,4.2,0.331,2.543e-03
45,4.3,0.311,2.380e-03
46,4.4,0.291,2.130e-03
47,4.5,0.271,1.929e-03
48,4.6,0.251,1.779e-03
49,4.7,0.231,1.637e-03
50,4.8,0.211,1.462e-03
51,4.9,0.191,1.354e-03
52,5.0,0.171,1.272e-03
53,5.1,0.151,1.114e-03
54,5.2,0.131,9.835e-04
55,5.3,0.111,9.163e-04
56,5.4,0.091,7.648e-04
57,5.5,0.071,6.809e-04
58,5.6,0.051,5.387e-04
59,5.7,0.031,4.610e-04
60,5.8,0.011,3.936e-04
61,5.9,-0.009,2.665e-04
62,6.0,-0.029,1.978e-04
63,6.1,-0.049,1.103e-04
64,6.2,-0.069,5.125e-05
65,6.3,-0.089,-1.673e-05
66,6.4,-0.109,-9.671e-05
67,6.5,-0.129,-2.091e-04
68,6.6,-0.149,-2.922e-04
69,6.7,-0.169,-4.477e-04
70,6.8,-0.189,-5.576e-04
71,6.9,-0.209,-6.853e-04
72,7.0,-0.229,-9.025e-04
73,7.1,-0.249,-1.186e-03
74,7.2,-0.269,-1.512e-03
75,7.3,-0.289,-1.863e-03
76,7.4,-0.309,-2.319e-03
77,7.5,-0.329,-2.718e-03
78,7.6,-0.349,-3.076e-03
79,7.7,-0.369,-3.577e-03
80,7.8,-0.389,-4.073e-03
81,7.9,-0.409,-4.593e-03
82,8.0,-0.429,-5.136e-03
83,8.1,-0.449,-5.678e-03
84,8.2,-0.468,-6.273e-03
85,8.3,-0.488,-6.808e-03
86,8.4,-0.508,-7.461e-03
87,8.5,-0.528,-8.082e-03
88,8.6,-0.548,-8.724e-03
89,8.7,-0.568,-9.341e-03
90,8.8,-0.588,-1.002e-02
91,8.9,-0.608,-1.074e-02
92,9.0,-0.628,-1.147e-02
93,9.1,-0.648,-1.221e-02
94,9.2,-0.668,-1.296e-02
95,9.3,-0.688,-1.371e-02
96,9.4,-0.708,-1.459e-02
97,9.5,-0.728,-1.541e-02
98,9.6,-0.748,-1.637e-02
99,9.7,-0.768,-1.732e-02
100,9.8,-0.788,-1.830e-02
101,9.9,-0.808,-1.932e-02
102,10.0,-0.828,-2.039e-02
103,10.1,-0.848,-2.146e-02
104,10.2,-0.868,-2.264e-02
105,10.3,-0.888,-2.383e-02
106,10.4,-0.908,-2.517e-02
107,10.5,-0.928,-2.659e-02
108,10.6,-0.948,-2.808e-02
109,10.7,-0.968,-2.963e-02
110,10.8,-0.988,-3.142e-02
111,10.9,-1.008,-3.336e-02
112,11.0,-1.028,-3.553e-02
113,11.1,-1.048,-3.785e-02
114,11.2,-1.068,-4.022e-02
115,11.3,-1.088,-4.259e-02
116,11.4,-1.108,-4.480e-02
117,11.5,-1.128,-4.668e-02
118,11.6,-1.148,-4.825e-02
119,11.7,-1.168,-4.926e-02
120,11.8,-1.188,-4.972e-02
121,11.9,-1.208,-4.967e-02
122,12.0,-1.228,-4.933e-02
123,12.1,-1.248,-4.877e-02
124,12.2,-1.268,-4.816e-02
125,12.3,-1.288,-4.766e-02
126,12.4,-1.308,-4.720e-02
127,12.5,-1.328,-4.697e-02
128,12.6,-1.348,-4.683e-02
129,12.7,-1.368,-4.673e-02
130,12.8,-1.387,-4.679e-02
131,12.9,-1.407,-4.694e-02
132,13.0,-1.427,-4.716e-02
133,13.1,-1.447,-4.749e-02
134,13.2,-1.467,-4.790e-02
135,13.3,-1.487,-4.831e-02
136,13.4,-1.492,-4.522e-02
137,13.5,-1.473,-3.879e-02
138,13.6,-1.453,-3.437e-02
139,13.7,-1.433,-3.096e-02
140,13.8,-1.413,-2.832e-02
141,13.9,-1.393,-2.619e-02
142,14.0,-1.373,-2.433e-02
143,14.1,-1.353,-2.275e-02
144,14.2,-1.333,-2.139e-02
145,14.3,-1.313,-2.013e-02
146,14.4,-1.293,-1.895e-02
147,14.5,-1.273,-1.798e-02
148,14.6,-1.253,-1.696e-02
149,14.7,-1.233,-1.603e-02
150,14.8,-1.213,-1.520e-02
151,14.9,-1.193,-1.436e-02
152,15.0,-1.173,-1.359e-02
153,15.1,-1.153,-1.284e-02
154,15.2,-1.133,-1.209e-02
155,15.3,-1.113,-1.134e-02
156,15.4,-1.093,-1.060e-02
157,15.5,-1.073,-9.821e-03
158,15.6,-1.053,-9.025e-03
159,15.7,-1.033,-8.276e-03
160,15.8,-1.013,-7.389e-03
161,15.9,-0.993,-6.517e-03
162,16.0,-0.973,-5.634e-03
163,16.1,-0.953,-4.759e-03
164,16.2,-0.933,-3.865e-03
165,16.3,-0.913,-3.026e-03
166,16.4,-0.893,-2.205e-03
167,16.5,-0.873,-1.427e-03
168,16.6,-0.853,-7.235e-04
169,16.7,-0.833,1.149e-05
170,16.8,-0.813,6.181e-04
171,16.9,-0.793,1.178e-03
172,17.0,-0.773,1.797e-03
173,17.1,-0.753,2.155e-03
174,17.2,-0.733,2.537e-03
175,17.3,-0.713,2.893e-03
176,17.4,-0.693,3.187e-03
177,17.5,-0.673,3.421e-03
178,17.6,-0.653,3.638e-03
179,17.7,-0.633,3.814e-03
180,17.8,-0.614,3.916e-03
181,17.9,-0.594,4.008e-03
182,18.0,-0.574,4.106e-03
183,18.1,-0.554,4.107e-03
184,18.2,-0.534,4.162e-03
185,18.3,-0.514,4.260e-03
186,18.4,-0.494,4.289e-03
187,18.5,-0.474,4.445e-03
188,18.6,-0.454,4.566e-03
189,18.7,-0.434,4.666e-03
190,18.8,-0.414,4.833e-03
191,18.9,-0.394,5.091e-03
192,19.0,-0.374,5.311e-03
193,19.1,-0.354,5.520e-03
194,19.2,-0.334,5.743e-03
195,19.3,-0.314,6.044e-03
196,19.4,-0.294,6.292e-03
197,19.5,-0.274,6.563e-03
198,19.6,-0.254,6.881e-03
199,19.7,-0.234,7.295e-03
200,19.8,-0.214,7.793e-03
201,19.9,-0.194,8.384e-03
202,20.0,-0.174,9.090e-03
203,20.1,-0.154,9.814e-03
204,20.2,-0.134,1.054e-02
205,20.3,-0.114,1.101e-02
206,20.4,-0.094,1.146e-02
207,20.5,-0.074,1.174e-02
208,20.6,-0.054,1.182e-02
209,20.7,-0.034,1.191e-02
210,20.8,-0.014,1.190e-02
211,20.9,0.006,1.189e-02
212,21.0,0.026,1.183e-02
213,21.1,0.046,1.175e-02
214,21.2,0.066,1.166e-02
215,21.3,0.086,1.153e-02
216,21.4,0.106,1.155e-02
217,21.5,0.126,1.144e-02
218,21.6,0.146,1.135e-02
219,21.7,0.166,1.130e-02
220,21.8,0.186,1.127e-02
221,21.9,0.206,1.122e-02
222,22.0,0.226,1.123e-02
223,22.1,0.246,1.122e-02
224,22.2,0.266,1.120e-02
225,22.3,0.286,1.129e-02
226,22.4,0.306,1.138e-02
227,22.5,0.326,1.147e-02
228,22.6,0.346,1.164e-02
229,22.7,0.366,1.177e-02
230,22.8,0.386,1.201e-02
231,22.9,0.406,1.232e-02
232,23.0,0.425,1.267e-02
233,23.1,0.445,1.309e-02
234,23.2,0.465,1.364e-02
235,23.3,0.485,1.425e-02
236,23.4,0.494,1.323e-02
237,23.5,0.475,1.003e-02
238,23.6,0.455,7.907e-03
239,23.7,0.435,6.442e-03
