sep=,
File............:   - FEB;22.2023
System..........:  
Temperature.....:  -0.4+-0.0C
Time............:  17:27:02-17:29:24
Slewrate........:  150mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Cyclic voltammogram
Lines:   1065
Columns: 3
Number,Time/s,Potential/V,Current/A
1,0.0,0.000,1.798e-03
2,0.1,0.000,1.802e-03
3,0.2,0.000,1.745e-03
4,0.3,0.000,1.767e-03
5,0.5,0.000,1.750e-03
6,0.6,0.000,1.730e-03
7,0.7,0.000,1.726e-03
8,0.9,0.002,1.978e-03
9,1.0,0.020,2.787e-03
10,1.1,0.040,3.028e-03
11,1.3,0.060,3.234e-03
12,1.4,0.080,3.427e-03
13,1.5,0.100,3.576e-03
14,1.7,0.120,3.675e-03
15,1.8,0.140,3.807e-03
16,1.9,0.160,3.943e-03
17,2.1,0.180,4.140e-03
18,2.2,0.200,4.228e-03
19,2.3,0.220,4.413e-03
20,2.5,0.240,4.550e-03
21,2.6,0.260,4.764e-03
22,2.7,0.280,4.938e-03
23,2.9,0.300,5.143e-03
24,3.0,0.320,5.358e-03
25,3.1,0.340,5.663e-03
26,3.3,0.360,5.961e-03
27,3.4,0.380,6.358e-03
28,3.5,0.400,6.862e-03
29,3.7,0.420,7.437e-03
30,3.8,0.440,7.895e-03
31,3.9,0.460,8.639e-03
32,4.1,0.480,9.781e-03
33,4.2,0.495,1.071e-02
34,4.3,0.480,8.080e-03
35,4.5,0.460,5.979e-03
36,4.6,0.440,4.601e-03
37,4.7,0.420,3.644e-03
38,4.9,0.400,3.012e-03
39,5.0,0.380,2.526e-03
40,5.1,0.360,2.197e-03
41,5.3,0.340,1.908e-03
42,5.4,0.320,1.612e-03
43,5.5,0.300,1.373e-03
44,5.7,0.280,1.184e-03
45,5.8,0.260,9.640e-04
46,5.9,0.240,8.010e-04
47,6.1,0.220,7.120e-04
48,6.2,0.200,5.955e-04
49,6.3,0.180,4.950e-04
50,6.5,0.160,3.535e-04
51,6.6,0.140,2.908e-04
52,6.7,0.120,1.303e-04
53,6.9,0.100,1.156e-05
54,7.0,0.080,-1.314e-04
55,7.1,0.060,-1.979e-04
56,7.3,0.040,-2.449e-04
57,7.4,0.020,-4.061e-04
58,7.5,0.000,-4.556e-04
59,7.7,-0.020,-5.640e-04
60,7.8,-0.040,-6.881e-04
61,7.9,-0.060,-7.862e-04
62,8.1,-0.080,-8.712e-04
63,8.2,-0.100,-9.733e-04
64,8.3,-0.120,-1.054e-03
65,8.5,-0.140,-1.156e-03
66,8.6,-0.160,-1.322e-03
67,8.7,-0.180,-1.395e-03
68,8.9,-0.200,-1.550e-03
69,9.0,-0.220,-1.702e-03
70,9.1,-0.240,-1.891e-03
71,9.3,-0.260,-2.109e-03
72,9.4,-0.280,-2.278e-03
73,9.5,-0.300,-2.515e-03
74,9.7,-0.320,-2.673e-03
75,9.8,-0.340,-2.951e-03
76,9.9,-0.360,-3.255e-03
77,10.1,-0.380,-3.567e-03
78,10.2,-0.400,-3.942e-03
79,10.3,-0.420,-4.332e-03
80,10.5,-0.440,-4.744e-03
81,10.6,-0.460,-5.196e-03
82,10.7,-0.480,-5.712e-03
83,10.9,-0.500,-6.195e-03
84,11.0,-0.520,-6.704e-03
85,11.1,-0.540,-7.270e-03
86,11.3,-0.560,-7.805e-03
87,11.4,-0.580,-8.320e-03
88,11.5,-0.600,-8.946e-03
89,11.7,-0.620,-9.492e-03
90,11.8,-0.640,-1.008e-02
91,11.9,-0.660,-1.080e-02
92,12.1,-0.680,-1.141e-02
93,12.2,-0.700,-1.209e-02
94,12.3,-0.720,-1.277e-02
95,12.5,-0.740,-1.352e-02
96,12.6,-0.760,-1.423e-02
97,12.7,-0.780,-1.505e-02
98,12.9,-0.800,-1.599e-02
99,13.0,-0.820,-1.689e-02
100,13.1,-0.840,-1.790e-02
101,13.3,-0.860,-1.903e-02
102,13.4,-0.880,-2.023e-02
103,13.5,-0.900,-2.161e-02
104,13.7,-0.920,-2.305e-02
105,13.8,-0.940,-2.455e-02
106,13.9,-0.960,-2.611e-02
107,14.1,-0.980,-2.757e-02
108,14.2,-1.000,-2.896e-02
109,14.3,-1.020,-3.013e-02
110,14.5,-1.040,-3.108e-02
111,14.6,-1.060,-3.166e-02
112,14.7,-1.080,-3.176e-02
113,14.9,-1.100,-3.136e-02
114,15.0,-1.120,-3.060e-02
115,15.1,-1.140,-2.968e-02
116,15.3,-1.159,-2.858e-02
117,15.4,-1.179,-2.754e-02
118,15.5,-1.199,-2.659e-02
119,15.7,-1.219,-2.579e-02
120,15.8,-1.239,-2.516e-02
121,15.9,-1.259,-2.466e-02
122,16.1,-1.279,-2.431e-02
123,16.2,-1.299,-2.410e-02
124,16.3,-1.319,-2.401e-02
125,16.5,-1.339,-2.398e-02
126,16.6,-1.359,-2.400e-02
127,16.7,-1.379,-2.405e-02
128,16.9,-1.399,-2.419e-02
129,17.0,-1.419,-2.441e-02
130,17.1,-1.439,-2.464e-02
131,17.3,-1.459,-2.494e-02
132,17.4,-1.479,-2.536e-02
133,17.5,-1.495,-2.481e-02
134,17.7,-1.481,-1.881e-02
135,17.8,-1.461,-1.406e-02
136,17.9,-1.441,-1.060e-02
137,18.1,-1.421,-7.951e-03
138,18.2,-1.401,-5.880e-03
139,18.3,-1.381,-4.225e-03
140,18.5,-1.361,-2.905e-03
141,18.6,-1.341,-1.787e-03
142,18.7,-1.321,-8.661e-04
143,18.9,-1.301,-1.047e-04
144,19.0,-1.281,5.489e-04
145,19.1,-1.261,1.149e-03
146,19.3,-1.241,1.678e-03
147,19.4,-1.221,2.066e-03
148,19.5,-1.201,2.543e-03
149,19.7,-1.181,2.847e-03
150,19.8,-1.161,3.210e-03
151,19.9,-1.141,3.549e-03
152,20.1,-1.121,3.859e-03
153,20.2,-1.101,4.153e-03
154,20.3,-1.081,4.405e-03
155,20.5,-1.061,4.683e-03
156,20.6,-1.041,4.951e-03
157,20.7,-1.021,5.151e-03
158,20.9,-1.001,5.381e-03
159,21.0,-0.981,5.608e-03
160,21.1,-0.961,5.774e-03
161,21.3,-0.941,6.029e-03
162,21.4,-0.921,6.165e-03
163,21.5,-0.901,6.411e-03
164,21.7,-0.881,6.543e-03
165,21.8,-0.861,6.705e-03
166,21.9,-0.841,6.892e-03
167,22.1,-0.821,7.046e-03
168,22.2,-0.801,7.174e-03
169,22.3,-0.781,7.300e-03
170,22.5,-0.761,7.403e-03
171,22.6,-0.741,7.475e-03
172,22.7,-0.721,7.533e-03
173,22.9,-0.701,7.577e-03
174,23.0,-0.681,7.607e-03
175,23.1,-0.661,7.576e-03
176,23.3,-0.641,7.594e-03
177,23.4,-0.621,7.625e-03
178,23.5,-0.601,7.579e-03
179,23.7,-0.581,7.556e-03
180,23.8,-0.561,7.524e-03
181,23.9,-0.541,7.515e-03
182,24.1,-0.521,7.476e-03
183,24.2,-0.501,7.445e-03
184,24.3,-0.481,7.389e-03
185,24.5,-0.461,7.328e-03
186,24.6,-0.441,7.308e-03
187,24.7,-0.421,7.296e-03
188,24.9,-0.401,7.244e-03
189,25.0,-0.381,7.237e-03
190,25.1,-0.361,7.204e-03
191,25.3,-0.341,7.176e-03
192,25.4,-0.321,7.241e-03
193,25.5,-0.301,7.245e-03
194,25.7,-0.281,7.318e-03
195,25.8,-0.261,7.342e-03
196,25.9,-0.241,7.389e-03
197,26.1,-0.221,7.466e-03
198,26.2,-0.201,7.530e-03
199,26.3,-0.181,7.648e-03
200,26.5,-0.161,7.698e-03
201,26.6,-0.141,7.802e-03
202,26.7,-0.121,7.849e-03
203,26.9,-0.101,7.878e-03
204,27.0,-0.081,7.907e-03
205,27.1,-0.061,7.921e-03
206,27.3,-0.041,7.944e-03
207,27.4,-0.021,7.968e-03
208,27.5,-0.001,7.948e-03
209,27.7,0.019,7.927e-03
210,27.8,0.039,7.972e-03
211,27.9,0.059,7.947e-03
212,28.1,0.079,7.967e-03
213,28.2,0.099,7.979e-03
214,28.3,0.119,8.051e-03
215,28.5,0.139,8.048e-03
216,28.6,0.159,8.132e-03
217,28.7,0.179,8.236e-03
218,28.9,0.199,8.328e-03
219,29.0,0.219,8.444e-03
220,29.1,0.239,8.575e-03
221,29.3,0.259,8.689e-03
222,29.4,0.279,8.822e-03
223,29.5,0.299,8.974e-03
224,29.7,0.319,9.155e-03
225,29.8,0.339,9.373e-03
226,29.9,0.359,9.583e-03
227,30.1,0.379,9.968e-03
228,30.2,0.399,1.040e-02
229,30.3,0.419,1.103e-02
230,30.5,0.439,1.160e-02
231,30.6,0.459,1.220e-02
232,30.7,0.479,1.322e-02
233,30.9,0.495,1.420e-02
234,31.0,0.481,1.117e-02
235,31.1,0.461,8.498e-03
236,31.3,0.441,6.696e-03
237,31.4,0.421,5.442e-03
238,31.5,0.401,4.559e-03
239,31.7,0.381,3.879e-03
240,31.8,0.361,3.375e-03
241,31.9,0.341,2.945e-03
242,32.1,0.321,2.543e-03
243,32.2,0.301,2.230e-03
244,32.3,0.281,1.940e-03
245,32.5,0.261,1.674e-03
246,32.6,0.241,1.464e-03
247,32.7,0.221,1.313e-03
248,32.9,0.201,1.160e-03
249,33.0,0.181,1.005e-03
250,33.1,0.161,8.590e-04
251,33.3,0.141,6.352e-04
252,33.4,0.121,5.197e-04
253,33.5,0.101,3.427e-04
254,33.7,0.081,1.861e-04
255,33.8,0.061,5.876e-05
256,33.9,0.041,-3.002e-05
257,34.1,0.021,-2.027e-04
258,34.2,0.001,-3.559e-04
259,34.3,-0.019,-4.420e-04
260,34.5,-0.039,-5.768e-04
261,34.6,-0.059,-7.390e-04
262,34.7,-0.079,-8.592e-04
263,34.9,-0.099,-1.041e-03
264,35.0,-0.119,-1.129e-03
265,35.1,-0.139,-1.250e-03
266,35.3,-0.159,-1.431e-03
267,35.4,-0.179,-1.556e-03
268,35.5,-0.199,-1.712e-03
269,35.7,-0.219,-1.899e-03
270,35.8,-0.239,-2.062e-03
271,35.9,-0.259,-2.372e-03
272,36.1,-0.279,-2.559e-03
273,36.2,-0.299,-2.776e-03
274,36.3,-0.319,-3.038e-03
275,36.5,-0.339,-3.274e-03
276,36.6,-0.359,-3.633e-03
277,36.7,-0.379,-3.964e-03
278,36.9,-0.399,-4.318e-03
279,37.0,-0.419,-4.703e-03
280,37.1,-0.439,-5.073e-03
281,37.3,-0.459,-5.515e-03
282,37.4,-0.479,-5.996e-03
283,37.5,-0.499,-6.442e-03
284,37.7,-0.519,-6.914e-03
285,37.8,-0.539,-7.361e-03
286,37.9,-0.559,-7.845e-03
287,38.1,-0.579,-8.348e-03
288,38.2,-0.599,-8.856e-03
289,38.3,-0.619,-9.353e-03
290,38.5,-0.639,-9.885e-03
291,38.6,-0.659,-1.042e-02
292,38.7,-0.679,-1.093e-02
293,38.9,-0.699,-1.150e-02
294,39.0,-0.719,-1.209e-02
295,39.1,-0.739,-1.269e-02
296,39.3,-0.759,-1.333e-02
297,39.4,-0.779,-1.399e-02
298,39.5,-0.799,-1.469e-02
299,39.7,-0.819,-1.552e-02
300,39.8,-0.839,-1.642e-02
301,39.9,-0.859,-1.739e-02
302,40.1,-0.879,-1.847e-02
303,40.2,-0.899,-1.967e-02
304,40.3,-0.919,-2.089e-02
305,40.5,-0.939,-2.217e-02
306,40.6,-0.959,-2.341e-02
307,40.7,-0.979,-2.458e-02
308,40.9,-0.999,-2.560e-02
309,41.0,-1.019,-2.636e-02
310,41.1,-1.039,-2.685e-02
311,41.3,-1.059,-2.688e-02
312,41.4,-1.079,-2.656e-02
313,41.5,-1.099,-2.599e-02
314,41.7,-1.119,-2.536e-02
315,41.8,-1.139,-2.464e-02
316,41.9,-1.159,-2.403e-02
317,42.1,-1.179,-2.348e-02
318,42.2,-1.198,-2.308e-02
319,42.3,-1.218,-2.279e-02
320,42.5,-1.238,-2.264e-02
321,42.6,-1.258,-2.257e-02
322,42.7,-1.278,-2.255e-02
323,42.9,-1.298,-2.259e-02
324,43.0,-1.318,-2.270e-02
325,43.1,-1.338,-2.292e-02
326,43.3,-1.358,-2.312e-02
327,43.4,-1.378,-2.334e-02
328,43.5,-1.398,-2.360e-02
329,43.7,-1.418,-2.385e-02
330,43.8,-1.438,-2.427e-02
331,43.9,-1.458,-2.465e-02
332,44.1,-1.478,-2.520e-02
333,44.2,-1.495,-2.497e-02
334,44.3,-1.482,-1.891e-02
335,44.5,-1.462,-1.391e-02
336,44.6,-1.442,-1.025e-02
337,44.7,-1.422,-7.432e-03
338,44.9,-1.402,-5.223e-03
339,45.0,-1.382,-3.520e-03
340,45.1,-1.362,-2.079e-03
341,45.3,-1.342,-8.866e-04
342,45.4,-1.322,6.201e-05
343,45.5,-1.302,8.983e-04
344,45.7,-1.282,1.560e-03
345,45.8,-1.262,2.184e-03
