sep=,
File............:   - FEB;22.2023
System..........:  
Temperature.....:  -0.4+-0.1C
Time............:  16:24:44-16:30:26
Slewrate........:  50mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Cyclic voltammogram
Lines:   855
Columns: 3
Number,Time/s,Potential/V,Current/A
1,0.0,0.000,2.311e-03
2,0.2,0.000,2.226e-03
3,0.6,0.002,2.553e-03
4,1.0,0.020,3.806e-03
5,1.4,0.040,4.327e-03
6,1.8,0.060,4.573e-03
7,2.2,0.080,4.793e-03
8,2.6,0.100,4.976e-03
9,3.0,0.120,5.144e-03
10,3.4,0.140,5.324e-03
11,3.8,0.160,5.490e-03
12,4.2,0.180,5.664e-03
13,4.6,0.200,5.850e-03
14,5.0,0.220,6.062e-03
15,5.4,0.240,6.332e-03
16,5.8,0.260,6.583e-03
17,6.2,0.280,6.892e-03
18,6.6,0.300,7.233e-03
19,7.0,0.320,7.659e-03
20,7.4,0.340,8.152e-03
21,7.8,0.360,8.742e-03
22,8.2,0.380,9.555e-03
23,8.6,0.400,1.071e-02
24,9.0,0.420,1.172e-02
25,9.4,0.440,1.279e-02
26,9.8,0.460,1.437e-02
27,10.2,0.480,1.678e-02
28,10.6,0.495,1.915e-02
29,11.0,0.481,1.520e-02
30,11.4,0.461,1.121e-02
31,11.8,0.441,8.387e-03
32,12.2,0.421,6.393e-03
33,12.6,0.401,5.009e-03
34,13.0,0.381,3.923e-03
35,13.4,0.361,3.129e-03
36,13.8,0.341,2.488e-03
37,14.2,0.321,1.959e-03
38,14.6,0.301,1.472e-03
39,15.0,0.281,9.918e-04
40,15.4,0.261,6.170e-04
41,15.8,0.241,3.046e-04
42,16.2,0.221,1.937e-04
43,16.6,0.201,6.418e-05
44,17.0,0.181,-1.209e-04
45,17.4,0.161,-2.976e-04
46,17.8,0.141,-4.863e-04
47,18.2,0.121,-6.766e-04
48,18.6,0.101,-8.693e-04
49,19.0,0.081,-1.021e-03
50,19.4,0.061,-1.198e-03
51,19.8,0.041,-1.340e-03
52,20.2,0.021,-1.493e-03
53,20.6,0.001,-1.661e-03
54,21.0,-0.019,-1.829e-03
55,21.4,-0.039,-1.972e-03
56,21.8,-0.059,-2.132e-03
57,22.2,-0.079,-2.283e-03
58,22.6,-0.099,-2.441e-03
59,23.0,-0.119,-2.632e-03
60,23.4,-0.139,-2.808e-03
61,23.8,-0.159,-2.979e-03
62,24.2,-0.179,-3.159e-03
63,24.6,-0.199,-3.377e-03
64,25.0,-0.219,-3.624e-03
65,25.4,-0.239,-3.897e-03
66,25.8,-0.259,-4.163e-03
67,26.2,-0.279,-4.437e-03
68,26.6,-0.299,-4.720e-03
69,27.0,-0.319,-4.989e-03
70,27.4,-0.339,-5.263e-03
71,27.8,-0.359,-5.552e-03
72,28.2,-0.378,-5.850e-03
73,28.6,-0.398,-6.191e-03
74,29.0,-0.418,-6.501e-03
75,29.4,-0.438,-6.828e-03
76,29.8,-0.458,-7.189e-03
77,30.2,-0.478,-7.516e-03
78,30.6,-0.498,-7.891e-03
79,31.0,-0.518,-8.227e-03
80,31.4,-0.538,-8.538e-03
81,31.8,-0.558,-8.857e-03
82,32.2,-0.578,-9.169e-03
83,32.6,-0.598,-9.478e-03
84,33.0,-0.618,-9.744e-03
85,33.4,-0.638,-1.001e-02
86,33.8,-0.658,-1.024e-02
87,34.2,-0.678,-1.051e-02
88,34.6,-0.698,-1.072e-02
89,35.0,-0.718,-1.095e-02
90,35.4,-0.738,-1.119e-02
91,35.8,-0.758,-1.142e-02
92,36.2,-0.778,-1.170e-02
93,36.6,-0.798,-1.200e-02
94,37.0,-0.818,-1.233e-02
95,37.4,-0.838,-1.266e-02
96,37.8,-0.858,-1.303e-02
97,38.2,-0.878,-1.335e-02
98,38.6,-0.898,-1.367e-02
99,39.0,-0.918,-1.397e-02
100,39.4,-0.938,-1.429e-02
101,39.8,-0.958,-1.461e-02
102,40.2,-0.978,-1.494e-02
103,40.6,-0.998,-1.527e-02
104,41.0,-1.018,-1.557e-02
105,41.4,-1.038,-1.586e-02
106,41.8,-1.058,-1.615e-02
107,42.2,-1.078,-1.643e-02
108,42.6,-1.098,-1.670e-02
109,43.0,-1.118,-1.696e-02
110,43.4,-1.138,-1.723e-02
111,43.8,-1.158,-1.747e-02
112,44.2,-1.178,-1.775e-02
113,44.6,-1.198,-1.801e-02
114,45.0,-1.218,-1.831e-02
115,45.4,-1.237,-1.868e-02
116,45.8,-1.257,-1.908e-02
117,46.2,-1.277,-1.947e-02
118,46.6,-1.297,-1.988e-02
119,47.0,-1.317,-2.024e-02
120,47.4,-1.337,-2.066e-02
121,47.8,-1.357,-2.111e-02
122,48.2,-1.377,-2.163e-02
123,48.6,-1.397,-2.219e-02
124,49.0,-1.417,-2.282e-02
125,49.4,-1.437,-2.357e-02
126,49.8,-1.457,-2.442e-02
127,50.2,-1.477,-2.546e-02
128,50.5,-1.494,-2.586e-02
129,50.9,-1.482,-1.945e-02
130,51.3,-1.462,-1.332e-02
131,51.7,-1.442,-8.589e-03
132,52.1,-1.422,-4.781e-03
133,52.5,-1.402,-1.696e-03
134,52.9,-1.382,8.202e-04
135,53.3,-1.362,2.783e-03
136,53.7,-1.342,4.404e-03
137,54.1,-1.322,5.802e-03
138,54.5,-1.302,6.963e-03
139,54.9,-1.282,7.916e-03
140,55.3,-1.262,8.733e-03
141,55.7,-1.242,9.462e-03
142,56.1,-1.223,1.006e-02
143,56.5,-1.203,1.059e-02
144,56.9,-1.183,1.106e-02
145,57.3,-1.163,1.148e-02
146,57.7,-1.143,1.184e-02
147,58.1,-1.123,1.215e-02
148,58.5,-1.103,1.242e-02
149,58.9,-1.083,1.269e-02
150,59.3,-1.063,1.294e-02
151,59.7,-1.043,1.316e-02
152,60.1,-1.023,1.336e-02
153,60.5,-1.003,1.352e-02
154,60.9,-0.983,1.369e-02
155,61.3,-0.963,1.388e-02
156,61.7,-0.943,1.403e-02
157,62.1,-0.923,1.415e-02
158,62.5,-0.903,1.424e-02
159,62.9,-0.883,1.436e-02
160,63.3,-0.863,1.443e-02
161,63.7,-0.843,1.447e-02
162,64.1,-0.823,1.456e-02
163,64.5,-0.803,1.460e-02
164,64.9,-0.783,1.466e-02
165,65.3,-0.763,1.468e-02
166,65.7,-0.743,1.466e-02
167,66.1,-0.723,1.460e-02
168,66.5,-0.703,1.454e-02
169,66.9,-0.683,1.444e-02
170,67.3,-0.663,1.435e-02
171,67.7,-0.643,1.426e-02
172,68.1,-0.623,1.414e-02
173,68.5,-0.603,1.404e-02
174,68.9,-0.583,1.392e-02
175,69.3,-0.563,1.380e-02
176,69.7,-0.543,1.369e-02
177,70.1,-0.523,1.355e-02
178,70.5,-0.503,1.342e-02
179,70.9,-0.483,1.328e-02
180,71.3,-0.463,1.312e-02
181,71.7,-0.443,1.299e-02
182,72.1,-0.423,1.283e-02
183,72.5,-0.403,1.269e-02
184,72.9,-0.383,1.247e-02
185,73.3,-0.364,1.235e-02
186,73.7,-0.344,1.217e-02
187,74.1,-0.324,1.201e-02
