sep=,
File............:   - FEB;22.2023
System..........:  
Temperature.....:  -0.4+-0.0C
Time............:  16:20:44-16:23:36
Slewrate........:  100mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Cyclic voltammogram
Lines:   860
Columns: 3
Number,Time/s,Potential/V,Current/A
1,0.0,0.000,2.303e-03
2,0.1,0.000,2.279e-03
3,0.3,0.000,2.203e-03
4,0.5,0.000,2.158e-03
5,0.7,0.000,2.160e-03
6,0.9,0.010,3.568e-03
7,1.1,0.030,4.857e-03
8,1.3,0.050,5.498e-03
9,1.5,0.070,5.901e-03
10,1.7,0.090,6.263e-03
11,1.9,0.110,6.600e-03
12,2.1,0.130,6.916e-03
13,2.3,0.150,7.197e-03
14,2.5,0.170,7.527e-03
15,2.7,0.190,7.803e-03
16,2.9,0.210,8.140e-03
17,3.1,0.230,8.493e-03
18,3.3,0.250,8.809e-03
19,3.5,0.270,9.191e-03
20,3.7,0.290,9.583e-03
21,3.9,0.310,1.000e-02
22,4.1,0.330,1.050e-02
23,4.3,0.350,1.102e-02
24,4.5,0.370,1.169e-02
25,4.7,0.390,1.241e-02
26,4.9,0.410,1.347e-02
27,5.1,0.430,1.469e-02
28,5.3,0.450,1.581e-02
29,5.5,0.469,1.720e-02
30,5.7,0.489,1.918e-02
31,5.9,0.491,1.758e-02
32,6.1,0.471,1.312e-02
33,6.3,0.451,9.844e-03
34,6.5,0.431,7.409e-03
35,6.7,0.411,5.536e-03
36,6.9,0.391,4.138e-03
37,7.1,0.371,3.073e-03
38,7.3,0.351,2.202e-03
39,7.5,0.331,1.513e-03
40,7.7,0.311,9.220e-04
41,7.9,0.291,4.113e-04
42,8.1,0.271,-1.056e-04
43,8.3,0.251,-4.519e-04
44,8.5,0.231,-6.995e-04
45,8.7,0.211,-9.201e-04
46,8.9,0.191,-1.176e-03
47,9.1,0.171,-1.405e-03
48,9.3,0.151,-1.593e-03
49,9.5,0.131,-1.865e-03
50,9.7,0.111,-2.060e-03
51,9.9,0.091,-2.273e-03
52,10.1,0.071,-2.470e-03
53,10.3,0.051,-2.678e-03
54,10.5,0.031,-2.883e-03
55,10.7,0.011,-3.096e-03
56,10.9,-0.009,-3.253e-03
57,11.1,-0.029,-3.454e-03
58,11.3,-0.049,-3.631e-03
59,11.5,-0.069,-3.820e-03
60,11.7,-0.089,-4.042e-03
61,11.9,-0.109,-4.248e-03
62,12.1,-0.129,-4.438e-03
63,12.3,-0.149,-4.677e-03
64,12.5,-0.169,-4.900e-03
65,12.7,-0.189,-5.139e-03
66,12.9,-0.209,-5.456e-03
67,13.1,-0.229,-5.701e-03
68,13.3,-0.249,-6.102e-03
69,13.5,-0.269,-6.477e-03
70,13.7,-0.289,-6.857e-03
71,13.9,-0.309,-7.194e-03
72,14.1,-0.329,-7.493e-03
73,14.3,-0.349,-7.854e-03
74,14.5,-0.369,-8.338e-03
75,14.7,-0.389,-8.822e-03
76,14.9,-0.409,-9.344e-03
77,15.1,-0.428,-9.910e-03
78,15.3,-0.448,-1.054e-02
79,15.5,-0.468,-1.120e-02
80,15.7,-0.488,-1.190e-02
81,15.9,-0.508,-1.259e-02
82,16.1,-0.528,-1.327e-02
83,16.3,-0.548,-1.401e-02
84,16.5,-0.568,-1.475e-02
85,16.7,-0.588,-1.553e-02
86,16.9,-0.608,-1.631e-02
87,17.1,-0.628,-1.707e-02
88,17.3,-0.648,-1.790e-02
89,17.5,-0.668,-1.868e-02
90,17.7,-0.688,-1.949e-02
91,17.9,-0.708,-2.031e-02
92,18.1,-0.728,-2.116e-02
93,18.3,-0.748,-2.201e-02
94,18.5,-0.768,-2.289e-02
95,18.7,-0.788,-2.383e-02
96,18.9,-0.808,-2.485e-02
97,19.1,-0.828,-2.590e-02
98,19.3,-0.848,-2.702e-02
99,19.5,-0.868,-2.833e-02
100,19.7,-0.888,-2.962e-02
101,19.9,-0.908,-3.099e-02
102,20.1,-0.928,-3.250e-02
103,20.3,-0.948,-3.384e-02
104,20.5,-0.968,-3.504e-02
105,20.7,-0.988,-3.603e-02
106,20.9,-1.008,-3.676e-02
107,21.1,-1.028,-3.734e-02
108,21.3,-1.048,-3.774e-02
109,21.5,-1.068,-3.819e-02
110,21.7,-1.088,-3.849e-02
111,21.9,-1.108,-3.877e-02
112,22.1,-1.128,-3.911e-02
113,22.3,-1.148,-3.956e-02
114,22.5,-1.168,-4.010e-02
115,22.7,-1.188,-4.073e-02
116,22.9,-1.208,-4.133e-02
117,23.1,-1.228,-4.194e-02
118,23.3,-1.248,-4.260e-02
119,23.5,-1.268,-4.329e-02
120,23.7,-1.287,-4.403e-02
121,23.9,-1.307,-4.476e-02
122,24.1,-1.327,-4.555e-02
123,24.3,-1.347,-4.645e-02
124,24.5,-1.367,-4.742e-02
125,24.7,-1.387,-4.836e-02
126,24.9,-1.407,-4.941e-02
127,25.1,-1.427,-5.045e-02
128,25.3,-1.447,-5.155e-02
129,25.5,-1.467,-5.296e-02
130,25.7,-1.487,-5.449e-02
131,25.9,-1.492,-5.181e-02
132,26.1,-1.472,-4.320e-02
133,26.3,-1.452,-3.608e-02
134,26.5,-1.432,-3.013e-02
135,26.7,-1.412,-2.516e-02
136,26.9,-1.392,-2.095e-02
137,27.1,-1.372,-1.737e-02
138,27.3,-1.352,-1.441e-02
139,27.5,-1.333,-1.183e-02
140,27.7,-1.313,-9.613e-03
141,27.9,-1.293,-7.689e-03
142,28.1,-1.273,-6.004e-03
143,28.3,-1.253,-4.517e-03
144,28.5,-1.233,-3.168e-03
145,28.7,-1.213,-1.973e-03
146,28.9,-1.193,-8.456e-04
147,29.1,-1.173,1.690e-04
148,29.3,-1.153,1.139e-03
149,29.5,-1.133,1.998e-03
150,29.7,-1.113,2.820e-03
151,29.9,-1.093,3.588e-03
152,30.1,-1.073,4.324e-03
153,30.3,-1.053,5.035e-03
154,30.5,-1.033,5.712e-03
155,30.7,-1.013,6.363e-03
156,30.9,-0.993,7.019e-03
157,31.1,-0.973,7.624e-03
158,31.3,-0.953,8.162e-03
159,31.5,-0.933,8.782e-03
160,31.7,-0.913,9.292e-03
161,31.9,-0.893,9.789e-03
162,32.1,-0.873,1.026e-02
163,32.3,-0.853,1.074e-02
164,32.5,-0.833,1.115e-02
165,32.7,-0.813,1.160e-02
166,32.9,-0.793,1.203e-02
167,33.1,-0.773,1.241e-02
168,33.3,-0.753,1.275e-02
169,33.5,-0.733,1.302e-02
170,33.7,-0.713,1.328e-02
171,33.9,-0.693,1.352e-02
172,34.1,-0.673,1.370e-02
173,34.3,-0.653,1.386e-02
174,34.5,-0.633,1.399e-02
175,34.7,-0.613,1.412e-02
176,34.9,-0.593,1.416e-02
177,35.1,-0.573,1.416e-02
178,35.3,-0.553,1.423e-02
179,35.5,-0.533,1.425e-02
180,35.7,-0.513,1.421e-02
181,35.9,-0.494,1.420e-02
182,36.1,-0.474,1.415e-02
183,36.3,-0.454,1.410e-02
184,36.5,-0.434,1.408e-02
185,36.7,-0.414,1.405e-02
186,36.9,-0.394,1.401e-02
187,37.1,-0.374,1.399e-02
188,37.3,-0.354,1.395e-02
189,37.5,-0.334,1.394e-02
190,37.7,-0.314,1.394e-02
191,37.9,-0.294,1.394e-02
192,38.1,-0.274,1.398e-02
193,38.3,-0.254,1.402e-02
194,38.5,-0.234,1.403e-02
195,38.7,-0.214,1.417e-02
196,38.9,-0.194,1.433e-02
197,39.1,-0.174,1.458e-02
198,39.3,-0.154,1.492e-02
199,39.5,-0.134,1.531e-02
200,39.7,-0.114,1.576e-02
201,39.9,-0.094,1.624e-02
202,40.1,-0.074,1.672e-02
203,40.3,-0.054,1.713e-02
204,40.5,-0.034,1.759e-02
205,40.7,-0.014,1.790e-02
206,40.9,0.006,1.808e-02
207,41.1,0.026,1.822e-02
208,41.3,0.046,1.824e-02
209,41.5,0.066,1.825e-02
210,41.7,0.086,1.820e-02
211,41.9,0.106,1.804e-02
212,42.1,0.126,1.787e-02
213,42.3,0.146,1.774e-02
214,42.5,0.166,1.751e-02
215,42.7,0.186,1.739e-02
216,42.9,0.206,1.729e-02
217,43.1,0.226,1.709e-02
218,43.3,0.246,1.695e-02
219,43.5,0.266,1.692e-02
220,43.7,0.286,1.689e-02
221,43.9,0.306,1.695e-02
222,44.1,0.326,1.706e-02
223,44.3,0.346,1.726e-02
224,44.5,0.366,1.763e-02
225,44.7,0.386,1.805e-02
226,44.9,0.406,1.869e-02
227,45.1,0.426,1.975e-02
228,45.3,0.446,2.088e-02
229,45.5,0.466,2.190e-02
230,45.7,0.485,2.344e-02
231,45.9,0.494,2.285e-02
232,46.1,0.475,1.769e-02
233,46.3,0.455,1.378e-02
234,46.5,0.435,1.078e-02
235,46.7,0.415,8.455e-03
236,46.9,0.395,6.694e-03
237,47.1,0.375,5.241e-03
238,47.3,0.355,4.088e-03
239,47.5,0.335,3.153e-03
240,47.7,0.315,2.429e-03
241,47.9,0.295,1.725e-03
242,48.1,0.275,1.123e-03
243,48.3,0.255,5.871e-04
244,48.5,0.235,1.769e-04
245,48.7,0.215,-9.729e-05
246,48.9,0.195,-3.423e-04
247,49.1,0.175,-6.204e-04
248,49.3,0.155,-9.426e-04
249,49.5,0.135,-1.206e-03
250,49.7,0.115,-1.568e-03
251,49.9,0.095,-1.799e-03
252,50.1,0.075,-2.037e-03
253,50.3,0.055,-2.268e-03
254,50.5,0.035,-2.502e-03
255,50.6,0.015,-2.732e-03
256,50.8,-0.005,-2.966e-03
257,51.0,-0.025,-3.223e-03
258,51.2,-0.045,-3.473e-03
259,51.4,-0.065,-3.725e-03
260,51.6,-0.085,-3.909e-03
261,51.8,-0.105,-4.180e-03
262,52.0,-0.125,-4.462e-03
263,52.2,-0.145,-4.733e-03
264,52.4,-0.165,-5.014e-03
265,52.6,-0.185,-5.324e-03
266,52.8,-0.205,-5.628e-03
267,53.0,-0.225,-5.995e-03
268,53.2,-0.245,-6.394e-03
269,53.4,-0.265,-6.869e-03
270,53.6,-0.285,-7.460e-03
271,53.8,-0.305,-8.094e-03
272,54.0,-0.325,-8.697e-03
273,54.2,-0.345,-9.278e-03
274,54.4,-0.365,-9.697e-03
275,54.6,-0.385,-1.003e-02
276,54.8,-0.405,-1.029e-02
277,55.0,-0.424,-1.062e-02
278,55.2,-0.444,-1.100e-02
279,55.4,-0.464,-1.148e-02
280,55.6,-0.484,-1.202e-02
281,55.8,-0.504,-1.256e-02
282,56.0,-0.524,-1.309e-02
283,56.2,-0.544,-1.362e-02
284,56.4,-0.564,-1.422e-02
285,56.6,-0.584,-1.485e-02
286,56.8,-0.604,-1.541e-02
287,57.0,-0.624,-1.596e-02
288,57.2,-0.644,-1.654e-02
289,57.4,-0.664,-1.717e-02
290,57.6,-0.684,-1.773e-02
291,57.8,-0.704,-1.830e-02
292,58.0,-0.724,-1.894e-02
293,58.2,-0.744,-1.950e-02
294,58.4,-0.764,-2.010e-02
295,58.6,-0.784,-2.072e-02
296,58.8,-0.804,-2.138e-02
297,59.0,-0.824,-2.205e-02
298,59.2,-0.844,-2.280e-02
299,59.4,-0.864,-2.362e-02
300,59.6,-0.884,-2.444e-02
301,59.8,-0.904,-2.531e-02
302,60.0,-0.924,-2.622e-02
303,60.2,-0.944,-2.702e-02
304,60.4,-0.964,-2.785e-02
305,60.6,-0.984,-2.866e-02
306,60.8,-1.004,-2.942e-02
307,61.0,-1.024,-3.025e-02
308,61.2,-1.044,-3.109e-02
309,61.4,-1.064,-3.193e-02
310,61.6,-1.084,-3.282e-02
311,61.8,-1.104,-3.364e-02
312,62.0,-1.124,-3.450e-02
313,62.2,-1.144,-3.535e-02
314,62.4,-1.164,-3.618e-02
315,62.6,-1.184,-3.700e-02
316,62.8,-1.204,-3.781e-02
317,63.0,-1.224,-3.859e-02
318,63.2,-1.244,-3.938e-02
319,63.4,-1.264,-4.020e-02
320,63.6,-1.283,-4.108e-02
321,63.8,-1.303,-4.206e-02
322,64.0,-1.323,-4.312e-02
323,64.2,-1.343,-4.416e-02
324,64.4,-1.363,-4.521e-02
325,64.6,-1.383,-4.618e-02
326,64.8,-1.403,-4.714e-02
327,65.0,-1.423,-4.801e-02
328,65.2,-1.443,-4.891e-02
329,65.4,-1.463,-5.001e-02
330,65.6,-1.483,-5.121e-02
331,65.8,-1.494,-4.973e-02
332,66.0,-1.476,-4.108e-02
333,66.2,-1.456,-3.384e-02
334,66.4,-1.436,-2.797e-02
335,66.6,-1.416,-2.303e-02
336,66.8,-1.396,-1.888e-02
337,67.0,-1.376,-1.530e-02
338,67.2,-1.356,-1.239e-02
339,67.4,-1.337,-9.865e-03
340,67.6,-1.317,-7.660e-03
341,67.8,-1.297,-5.789e-03
342,68.0,-1.277,-4.043e-03
343,68.2,-1.257,-2.566e-03
344,68.4,-1.237,-1.207e-03
345,68.6,-1.217,1.329e-06
346,68.8,-1.197,1.109e-03
347,69.0,-1.177,2.081e-03
348,69.2,-1.157,2.987e-03
349,69.4,-1.137,3.821e-03
350,69.6,-1.117,4.625e-03
351,69.8,-1.097,5.394e-03
352,70.0,-1.077,6.133e-03
353,70.2,-1.057,6.826e-03
354,70.4,-1.037,7.491e-03
355,70.6,-1.017,8.087e-03
356,70.8,-0.997,8.698e-03
357,71.0,-0.977,9.330e-03
358,71.2,-0.957,9.869e-03
359,71.4,-0.937,1.045e-02
360,71.6,-0.917,1.095e-02
361,71.8,-0.897,1.142e-02
362,72.0,-0.877,1.188e-02
363,72.2,-0.857,1.232e-02
364,72.4,-0.837,1.273e-02
365,72.6,-0.817,1.314e-02
366,72.8,-0.797,1.356e-02
