sep=,
File............:   - FEB;22.2023
System..........:  
Temperature.....:  -0.4+-0.1C
Time............:  15:14:02-15:49:04
Slewrate........:  10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Cyclic voltammogram
Lines:   1051
Columns: 3
Number,Time/s,Potential/V,Current/A
1,0.0,0.002,5.169e-03
2,1.0,0.020,4.949e-03
3,3.0,0.040,4.789e-03
4,5.0,0.060,4.714e-03
5,7.0,0.080,4.693e-03
6,9.0,0.100,4.702e-03
7,11.0,0.120,4.736e-03
8,13.0,0.140,4.787e-03
9,15.0,0.160,4.855e-03
10,17.0,0.180,4.935e-03
11,19.0,0.200,5.033e-03
12,21.0,0.220,5.145e-03
13,23.0,0.240,5.272e-03
14,25.0,0.260,5.419e-03
15,27.0,0.280,5.592e-03
16,29.0,0.300,5.798e-03
17,31.0,0.320,6.043e-03
18,33.0,0.340,6.332e-03
19,35.0,0.360,6.698e-03
20,37.0,0.380,7.254e-03
21,39.0,0.400,7.922e-03
22,41.0,0.420,8.502e-03
23,43.0,0.440,9.398e-03
24,45.0,0.460,1.105e-02
25,47.0,0.480,1.403e-02
26,49.0,0.496,1.724e-02
27,51.0,0.481,1.363e-02
28,53.0,0.461,9.751e-03
29,55.0,0.441,7.188e-03
30,56.9,0.421,5.680e-03
31,58.9,0.401,4.746e-03
32,60.9,0.381,4.088e-03
33,62.9,0.361,3.588e-03
34,64.9,0.341,3.188e-03
35,66.9,0.321,2.840e-03
36,68.9,0.301,2.535e-03
37,70.9,0.281,2.250e-03
38,72.9,0.261,1.975e-03
39,74.9,0.242,1.766e-03
40,76.9,0.222,1.680e-03
41,78.9,0.202,1.583e-03
42,80.9,0.182,1.453e-03
43,82.9,0.162,1.319e-03
44,84.9,0.142,1.187e-03
45,86.9,0.122,1.060e-03
46,88.9,0.102,9.404e-04
47,90.9,0.082,8.259e-04
48,92.9,0.062,7.184e-04
49,94.9,0.042,6.105e-04
50,96.9,0.022,5.084e-04
51,98.9,0.002,4.061e-04
52,100.9,-0.018,3.063e-04
53,102.9,-0.038,2.062e-04
54,104.9,-0.058,1.057e-04
55,106.9,-0.078,7.985e-06
56,108.9,-0.098,-8.650e-05
57,110.9,-0.118,-1.811e-04
58,112.9,-0.138,-2.740e-04
59,114.9,-0.158,-3.676e-04
60,116.9,-0.178,-4.702e-04
61,118.9,-0.198,-5.842e-04
62,120.9,-0.218,-6.932e-04
63,122.9,-0.238,-7.929e-04
64,124.9,-0.258,-8.850e-04
65,126.9,-0.278,-9.809e-04
66,128.9,-0.298,-1.073e-03
67,130.9,-0.318,-1.149e-03
68,132.9,-0.338,-1.214e-03
69,134.9,-0.358,-1.268e-03
70,136.9,-0.378,-1.323e-03
71,138.9,-0.398,-1.379e-03
72,140.9,-0.418,-1.431e-03
73,142.9,-0.438,-1.479e-03
74,144.9,-0.458,-1.528e-03
75,146.9,-0.478,-1.579e-03
76,148.9,-0.498,-1.633e-03
