ACM Instruments v4 analysis (01/mar./2023 15:07)

File name,C:\Data\ELL\MnO2_sintetizado\MnO2_600mV_sint,
Test type,Cyclic sweep,
Instrument serial number,901,
Physical channel,3,
Sequence number,1,
ZRA Number,n/a,
Time and Date,14:48:10 01/mar./2023,
Data points,1228,
Area (cm²),1,
Rest Potential (mV),Not recorded,
Metal,Mild Steel,
Metal factor,1159,
LPR (Ohm.cm²),142.68,
Ba (mV),120,
Bc (mV),120,
Icorr (mA/cm²),0.1828319,
Corrosion Rate (mm/year),2.119,
Corrosion rate (mils/yr),83.426,
Intercept (mA/cm²),0,
Intercept corrosion rate (mm/year),0,
Intercept corrosion rate (mils/yr),0,
IR Compensation value (Ohm.cm²),N/A,
,
Current (mA/cm²),Potential (mV),Time (Sec),
-12.937,-1498,0,
-10.892,-1483.3,0.8899997,
-9.1916,-1469,1.5779,
-7.865,-1455.9,2.3279,
-6.3022,-1440,3.1559,
-5.177,-1424.1,4.0309,
-3.8426,-1405.8,5.078,
-3.0584,-1388.1,5.9059,
-2.3741,-1371.7,6.6709,
-1.9495,-1357.3,7.2029,
-1.4054,-1339.1,8.0309,
-0.9936983,-1322.2,8.9679,
-0.758192,-1306.2,9.7809,
-0.1788929,-1287.5,10.998,
-0.0569255,-1266.6,11.842,
-0.0621595,-1251.4,12.655,
0.0712637,-1235.5,13.529,
0.2259321,-1219.6,14.342,
0.4163124,-1202.9,15.326,
0.5109336,-1184.7,15.89,
0.6426901,-1165.3,16.717,
0.6715638,-1149.5,17.592,
0.8071329,-1133.1,18.467,
0.8425035,-1116.9,19.28,
0.9194142,-1101.3,20.092,
0.9247711,-1085.3,20.951,
1.0273,-1069.3,21.842,
1.0731,-1052.6,22.654,
1.2015,-1035.9,23.638,
1.2213,-1018,24.201,
1.3298,-998.55,25.091,
1.3652,-982.03,25.966,
1.4256,-965.42,26.779,
1.371,-949.74,27.654,
1.445,-933.63,28.529,
1.4981,-917.07,29.341,
1.4609,-901.33,30.154,
1.4826,-885.81,31.029,
1.5662,-869.72,31.842,
1.5969,-854.13,32.388,
1.6938,-834.9,33.216,
1.6629,-819.32,34.091,
1.7044,-803.32,34.904,
1.7365,-787.6,35.716,
1.7224,-771.82,36.592,
1.7368,-755.85,37.403,
1.7106,-739.88,38.217,
1.7083,-724.46,39.091,
1.7511,-708.37,39.903,
1.7564,-692.67,40.45,
1.7559,-673.79,41.278,
1.6999,-658.08,42.153,
1.6866,-642.26,42.967,
1.6616,-626.8,43.778,
1.654,-611.03,44.592,
1.6143,-595.08,45.466,
1.5703,-579.38,46.278,
1.5123,-563.98,47.091,
1.5201,-547.75,47.966,
1.5157,-531.77,48.45,
1.4289,-517.9,49.106,
1.5023,-502.31,49.84,
1.4456,-487.79,50.654,
1.4307,-472.25,51.528,
1.4243,-456,52.356,
1.3972,-440.4,53.168,
1.3537,-424.49,54.044,
1.3406,-408.49,54.856,
1.3179,-392.99,55.668,
1.3164,-376.8,56.215,
1.3078,-358.3,57.106,
1.302,-341.98,57.918,
