ACM Instruments v4 analysis (03/mar./2023 12:42)

File name,C:\Data\ELL\MnO2_sintetizado\MnO2_600mV_sint,
Test type,Cyclic sweep,
Instrument serial number,901,
Physical channel,3,
Sequence number,1,
ZRA Number,n/a,
Time and Date,12:30:11 03/mar./2023,
Data points,494,
Area (cm²),1,
Rest Potential (mV),Not recorded,
Metal,Mild Steel,
Metal factor,1159,
LPR (Ohm.cm²),38.888,
Ba (mV),120,
Bc (mV),120,
Icorr (mA/cm²),0.6708074,
Corrosion Rate (mm/year),7.7746,
Corrosion rate (mils/yr),306.08,
Intercept (mA/cm²),0,
Intercept corrosion rate (mm/year),0,
Intercept corrosion rate (mils/yr),0,
IR Compensation value (Ohm.cm²),N/A,
,
Current (mA/cm²),Potential (mV),Time (Sec),
-6.5943,-1494.6,0,
-2.4899,-1453.4,1.125,
0.1866734,-1408.2,2.125,
2.3765,-1358.8,3.125,
4.1215,-1305.4,4.14,
5.1396,-1257,5.14,
5.521,-1214.5,5.953,
6.034,-1174.3,6.781,
6.3311,-1136.6,7.656,
6.707,-1095.3,8.203,
7.2161,-1047.8,9.031,
7.4968,-1005.2,9.906,
7.5075,-966.4,10.718,
7.6826,-927.52,11.577,
7.8576,-886.96,12.468,
7.9707,-845.94,13.28,
8.1415,-805.46,14.14,
8.1796,-765.54,15.03,
8.3369,-724.01,15.843,
8.3343,-685.37,16.374,
8.4216,-636.74,17.28,
8.3297,-595.38,18.155,
8.2079,-554.92,18.952,
8.0229,-516.28,19.827,
7.8783,-474.91,20.701,
7.6824,-433.18,21.515,
7.4503,-394.6,22.343,
7.2192,-356.45,23.202,
7.1448,-314.65,24.014,
6.8443,-275.34,24.515,
6.5613,-241.63,25.171,
6.3752,-203.24,25.967,
6.2172,-164.7,26.78,
5.9967,-125.93,27.592,
5.7286,-86.876,28.452,
5.6361,-45.891,29.342,
5.506,-4.7827,30.201,
5.4295,36.959,31.092,
5.4324,78.286,31.952,
5.6372,121.9,32.577,
5.8423,171.32,33.451,
6.1534,212.93,34.264,
6.4037,251.21,35.139,
6.8349,292.24,35.951,
7.329,331.28,36.78,
7.8579,368.61,37.592,
8.649,407.84,38.451,
9.9022,449.17,39.264,
,,39.498,
11.594,488.36,40.092,
8.7012,474.28,40.622,
4.7542,425.49,41.529,
2.8606,385.41,42.373,
1.5752,344.43,43.217,
0.6575742,305.07,44.045,
-0.0036532,265.1,44.873,
-0.8267973,213.02,46.138,
-0.9244533,162.57,47.123,
-1.084,118.06,47.998,
-1.293,76.549,48.81,
-1.5587,34.078,49.482,
-2.005,-21.777,50.607,
-2.0852,-70.892,51.513,
-2.3463,-114.47,52.388,
-2.4753,-154.5,53.248,
-2.7412,-194.8,54.06,
-2.9944,-234.18,54.939,
-3.3273,-275.44,55.767,
-3.5607,-315.05,56.563,
-3.8992,-353.01,57.392,
-4.3108,-391.54,57.923,
-4.77,-439.03,58.751,
-5.0779,-478.1,59.626,
-5.3686,-519.14,60.516,
-5.6624,-560.06,61.376,
-5.921,-601.3,62.188,
-6.2112,-641.32,63.063,
-6.3483,-681.18,63.891,
-6.5936,-721.53,64.704,
-6.8645,-760.55,65.501,
-7.0797,-798.03,66.047,
-7.5678,-845.97,66.954,
-7.8374,-887.34,67.813,
-8.1476,-928,68.625,
-8.4446,-967.4,69.5,
-8.9508,-1008.8,70.375,
-9.293,-1049.4,71.188,
-9.6566,-1089,72.016,
-9.9409,-1127.2,72.875,
-10.265,-1168.1,73.766,
-10.675,-1210.5,74.297,
-11.141,-1258.1,75.125,
-11.382,-1296.7,76,
-11.805,-1337.6,76.813,
-12.121,-1376.4,77.688,
-12.58,-1417.9,78.563,
