ACM Instruments v4 analysis (03/mar./2023 14:08)

File name,C:\Data\ELL\MnO2_sintetizado\MnO2_600mV_sint,
Test type,Cyclic sweep,
Instrument serial number,901,
Physical channel,3,
Sequence number,1,
ZRA Number,n/a,
Time and Date,13:53:57 03/mar./2023,
Data points,985,
Area (cm²),1,
Rest Potential (mV),Not recorded,
Metal,Mild Steel,
Metal factor,1159,
LPR (Ohm.cm²),95.053,
Ba (mV),120,
Bc (mV),120,
Icorr (mA/cm²),0.2744451,
Corrosion Rate (mm/year),3.1808,
Corrosion rate (mils/yr),125.22,
Intercept (mA/cm²),0,
Intercept corrosion rate (mm/year),0,
Intercept corrosion rate (mils/yr),0,
IR Compensation value (Ohm.cm²),N/A,
,
Current (mA/cm²),Potential (mV),Time (Sec),
-10.316,-1497.4,0,
-7.4921,-1479,0.8900003,
-5.6091,-1460.5,1.656,
-3.9011,-1441.5,2.64,
-2.4432,-1417.1,3.484,
-1.7615,-1397.5,4.3589,
-0.8467273,-1377,5.218,
-0.2128635,-1356.2,6.031,
0.6598474,-1332.3,7.515,
1.1441,-1300.9,8.078,
1.4383,-1273.8,9.093,
1.8798,-1248,10.156,
1.812,-1226.6,11.046,
1.8854,-1206.2,11.859,
1.958,-1186.3,12.734,
2.0753,-1166.3,13.546,
2.2111,-1146.8,14.406,
2.1646,-1126.4,15.295,
2.3056,-1105.8,16.155,
2.4724,-1084.5,16.702,
2.5772,-1061,17.53,
2.5833,-1041.3,18.342,
2.5277,-1022.6,19.171,
2.6808,-1003.1,19.982,
2.6886,-983.2,20.843,
2.7851,-963.15,21.655,
2.7575,-943.53,22.53,
2.8,-923.39,23.343,
2.8636,-903.52,24.171,
2.8882,-884.59,24.655,
2.7933,-867.42,25.311,
2.9603,-847.82,26.155,
3.0236,-826.84,27.046,
3.0002,-806.34,27.905,
3.0342,-785.27,28.78,
2.9799,-764.77,29.67,
2.9716,-744.03,30.545,
2.9598,-723.4,31.405,
2.948,-702.54,32.279,
2.9789,-681.32,32.827,
2.9583,-658.24,33.608,
2.8283,-640.12,34.405,
2.8481,-620.92,35.233,
2.7905,-601.86,36.092,
2.7852,-580.87,36.966,
2.7647,-559.84,37.858,
2.6853,-539.24,38.717,
2.6065,-518.62,39.529,
2.5735,-498.92,40.404,
