ACM Instruments v4 analysis (01/mar./2023 15:26)

File name,C:\Data\ELL\MnO2_sintetizado\MnO2_600mV_sint,
Test type,Cyclic sweep,
Instrument serial number,901,
Physical channel,3,
Sequence number,1,
ZRA Number,n/a,
Time and Date,15:11:36 01/mar./2023,
Data points,990,
Area (cm²),1,
Rest Potential (mV),Not recorded,
Metal,Mild Steel,
Metal factor,1159,
LPR (Ohm.cm²),100.88,
Ba (mV),120,
Bc (mV),120,
Icorr (mA/cm²),0.2585857,
Corrosion Rate (mm/year),2.997,
Corrosion rate (mils/yr),117.99,
Intercept (mA/cm²),0,
Intercept corrosion rate (mm/year),0,
Intercept corrosion rate (mils/yr),0,
IR Compensation value (Ohm.cm²),N/A,
,
Current (mA/cm²),Potential (mV),Time (Sec),
-10.053,-1497.5,0,
-8.177,-1479.1,0.8909999,
-7.1155,-1461.3,1.6089,
-5.5727,-1443.4,2.3909,
-3.9773,-1422.5,3.4839,
-2.6467,-1396.8,4.3909,
-1.8949,-1376,5.266,
-1.2541,-1355.7,6.0779,
-0.7098768,-1336.1,7.1719,
0.1121946,-1310,7.687,
0.366924,-1283.9,8.6869,
0.8723443,-1259,9.6869,
0.8089489,-1238.6,10.514,
0.9717217,-1219,11.389,
1.1572,-1199.2,12.202,
1.2914,-1179.5,13.014,
1.5293,-1157.7,13.999,
1.5426,-1136.4,14.889,
1.6669,-1115.8,15.702,
1.7618,-1095.4,16.248,
2.009,-1071.9,17.139,
2.1029,-1050.1,18.17,
2.1632,-1025.9,19.076,
2.2346,-1005.2,19.951,
2.2878,-984.73,20.826,
2.3323,-964.49,21.639,
2.3708,-945.04,22.451,
2.4482,-924.61,23.342,
2.5214,-904.73,24.154,
2.5865,-884.2,24.701,
2.7311,-861.5,25.529,
2.7553,-841.81,26.342,
2.7578,-822.19,27.201,
2.8449,-801.8,28.092,
2.8171,-781.47,28.905,
2.8194,-761.49,29.779,
2.8479,-741.77,30.592,
2.8189,-722.78,31.404,
2.8444,-703.32,32.216,
2.9359,-682.89,32.701,
2.7941,-666.53,33.357,
2.8751,-647.56,34.154,
2.8915,-628.23,34.966,
2.9339,-608.44,35.779,
2.8447,-588.92,36.654,
2.8419,-568.89,37.466,
2.7849,-549.57,38.279,
2.7418,-529.54,39.091,
2.7282,-510.07,39.966,
2.7336,-489.9,40.451,
2.5568,-472.8,41.107,
2.5482,-453.78,41.904,
2.5463,-433.86,42.716,
2.4662,-414.19,43.591,
2.3965,-394.21,44.404,
2.3457,-374.21,45.216,
2.2997,-354.76,46.091,
2.237,-335.07,46.903,
2.1854,-315.59,47.717,
2.1901,-295.14,48.263,
2.1784,-272.06,49.154,
2.0846,-251.88,49.966,
2.0633,-232.29,50.778,
2.0058,-212.62,51.653,
2.0019,-192.21,52.513,
1.9593,-171.62,53.403,
1.8993,-151.01,54.216,
1.8683,-131.55,55.028,
1.8356,-112.23,55.903,
1.8332,-91.408,56.45,
1.8525,-67.464,57.278,
1.8149,-47.977,58.09,
1.8069,-28.571,58.965,
1.8361,-8.5143,59.778,
1.8227,10.904,60.653,
1.8136,31.347,61.465,
1.8994,52.103,62.418,
1.9384,73.651,63.278,
2.004,94.286,64.168,
2.1129,115.31,64.715,
2.2546,138.81,65.543,
2.3228,158.65,66.418,
2.3789,178.82,67.231,
2.4437,198.39,68.043,
2.4915,218.13,68.856,
2.5368,237.21,69.731,
2.6916,257.5,70.543,
2.7224,276.39,71.356,
2.8688,296.67,72.23,
3.1152,317.14,72.715,
3.1805,333.98,73.371,
3.4386,353.88,74.215,
3.725,374.56,75.043,
4.2708,394.27,75.918,
5.2916,414.32,76.73,
5.6744,434.17,77.605,
6.4399,454.16,78.418,
8.5042,474.34,79.308,
,,79.558,
12.186,495.08,80.2,
10.147,486.18,80.746,
5.6444,461.59,81.636,
3.3351,441.34,82.511,
2.0717,420.59,83.325,
1.5076,400.97,84.199,
1.1436,380.92,85.011,
0.9067526,361,85.886,
0.6888905,341,86.699,
0.459338,319,87.699,
0.2482709,297.41,88.808,
-0.1838404,270.43,89.386,
-0.316809,246.56,90.277,
-0.1474737,222.95,91.277,
-0.049762,201.39,92.105,
-0.0707907,181.69,92.98,
-0.1546109,161.61,93.792,
-0.1731742,142.58,94.605,
-0.2188767,122.66,95.48,
-0.2772868,102.63,96.292,
-0.3196678,83.088,97.151,
-0.4041395,61.777,97.714,
-0.4549475,37.792,98.604,
-0.5176022,17.091,99.417,
-0.5096501,-2.2191,100.29,
-0.5611353,-22.535,101.12,
-0.6674315,-43.469,101.99,
-0.6672137,-63.661,102.87,
-0.6818442,-83.541,103.68,
-0.7182101,-103.63,104.49,
-0.7823928,-123.22,105.37,
-0.8714159,-143.27,105.85,
-0.8315087,-160.4,106.51,
-0.9314312,-179.6,107.3,
-1.0608,-200.84,108.22,
-1.0929,-221.73,109.12,
-1.2114,-244.68,110.1,
-1.2563,-266.39,110.99,
-1.2898,-286.74,111.8,
-1.3252,-306.17,112.68,
-1.472,-327.14,113.49,
-1.5525,-346.77,114.04,
-1.609,-370.57,114.86,
-1.6077,-390.04,115.68,
-1.6049,-409.19,116.55,
-1.6586,-429.21,117.36,
-1.7477,-448.99,118.24,
-1.7604,-469.16,119.05,
-1.7937,-488.68,119.86,
-1.8172,-508.78,120.74,
-1.8815,-528.52,121.55,
-1.9527,-548.35,122.1,
-2.1732,-574.39,123.21,
-2.164,-599.15,124.05,
-2.0916,-618.51,124.93,
-2.2201,-638.74,125.74,
-2.1806,-657.91,126.55,
-2.2101,-677.86,127.43,
-2.3292,-698.02,128.24,
-2.3554,-718.04,129.11,
-2.4913,-738.28,129.94,
-2.54,-758.68,130.49,
-2.7539,-782.01,131.38,
-2.8034,-802.22,132.19,
-2.9067,-821.88,133.07,
-2.954,-842.09,133.88,
-3.0372,-861.6,134.69,
-3.0835,-881.57,135.57,
-3.1897,-901.63,136.44,
-3.2464,-921.92,137.25,
-3.4053,-942.29,138.13,
-3.6723,-962.68,138.68,
-3.8923,-986.64,139.5,
-3.8309,-1005.8,140.38,
-4.0439,-1026.1,141.19,
-4.1524,-1045.7,142,
-4.108,-1065.2,142.88,
-4.3365,-1085.7,143.71,
-4.321,-1105.2,144.55,
-4.2652,-1125.1,145.41,
-4.3627,-1145.2,146.27,
-4.5301,-1166.6,146.83,
-4.6322,-1191.3,147.74,
-4.6612,-1211.8,148.61,
-4.7006,-1232.3,149.43,
-4.7564,-1251.9,150.3,
-4.8901,-1271.9,151.11,
-4.9799,-1291.3,151.93,
-5.0634,-1311.2,152.8,
-5.2751,-1331.6,153.63,
-5.4278,-1351.1,154.44,
-5.6727,-1371.3,154.99,
-6.0575,-1394.4,155.82,
-6.3621,-1414,156.69,
-6.887,-1434,157.5,
-7.5832,-1453.9,158.38,
-8.6806,-1474,159.24,
,,159.8,
-10.172,-1494.8,160.07,
-8.3655,-1491,161.11,
-5.7903,-1464.3,162.11,
-4.3856,-1442.4,162.94,
-3.4447,-1422.6,163.43,
-2.8165,-1406.5,164.08,
-1.8777,-1386.3,164.89,
-1.3154,-1366.9,165.77,
-0.6203787,-1345.7,166.8,
-0.1486718,-1321,167.71,
0.2369195,-1298.4,168.69,
0.2903293,-1277,169.58,
0.6746835,-1254.4,170.57,
0.8324683,-1231.8,171.46,
1.0394,-1210.7,172,
1.2002,-1187.2,172.83,
1.5084,-1164.6,173.82,
1.5023,-1143.4,174.71,
1.5439,-1123,175.52,
1.5875,-1103.1,176.39,
1.7009,-1083.3,177.21,
1.7369,-1063.2,178.02,
1.8262,-1043.8,178.89,
1.9447,-1024,179.92,
2.3718,-998.04,180.5,
2.3495,-973.82,181.39,
2.3851,-953.25,182.21,
2.3833,-933.79,183.08,
2.5138,-913.75,183.89,
2.5505,-894.24,184.71,
2.5624,-874.44,185.58,
2.6618,-854.48,186.39,
2.5892,-835.47,187.21,
2.7993,-814.3,188.13,
2.8602,-793.4,188.69,
2.9956,-769.15,189.58,
2.9467,-748.66,190.46,
2.9468,-727.74,191.33,
2.9715,-707.01,192.21,
2.9489,-686.55,193.02,
2.9077,-666.67,193.89,
2.9113,-646.89,194.71,
2.8653,-627.5,195.52,
2.8774,-607.36,196.39,
2.9226,-587.28,196.94,
2.9496,-563.21,197.81,
2.8928,-542.19,198.71,
2.8088,-521.67,199.58,
