ACM Instruments v4 analysis (01/mar./2023 15:41)

File name,C:\Data\ELL\MnO2_sintetizado\MnO2_600mV_sint,
Test type,Cyclic sweep,
Instrument serial number,901,
Physical channel,3,
Sequence number,1,
ZRA Number,n/a,
Time and Date,15:37:29 01/mar./2023,
Data points,257,
Area (cm²),1,
Rest Potential (mV),Not recorded,
Metal,Mild Steel,
Metal factor,1159,
LPR (Ohm.cm²),35.224,
Ba (mV),120,
Bc (mV),120,
Icorr (mA/cm²),0.7405988,
Corrosion Rate (mm/year),8.5835,
Corrosion rate (mils/yr),337.93,
Intercept (mA/cm²),0,
Intercept corrosion rate (mm/year),0,
Intercept corrosion rate (mils/yr),0,
IR Compensation value (Ohm.cm²),N/A,
,
Current (mA/cm²),Potential (mV),Time (Sec),
7.2686,29.971,55.822,
7.2793,125.82,56.696,
7.4882,215.09,57.65,
7.6723,298.28,58.525,
8.4337,380.01,59.337,
12.326,459.04,60.15,
,,60.384,
19.588,520.16,61.025,
5.4993,432.76,61.836,
1.0987,352.04,62.697,
-0.9067196,272.26,63.586,
-0.9819724,187.9,64.134,
-1.3007,95.378,64.961,
-1.7921,15.354,65.775,
-2.483,-73.727,66.711,
-2.6505,-152.16,67.587,
-3.4761,-236.96,68.462,
-4.1137,-318.76,69.337,
-4.9966,-399.18,70.212,
-5.8729,-481.98,71.025,
-6.6495,-559.69,71.837,
-7.4995,-640.64,72.383,
-8.7077,-733.54,73.211,
-9.3456,-812.55,74.102,
-10.682,-894.98,74.977,
-11.971,-976.18,75.79,
-13.155,-1053.5,76.602,
-13.814,-1133.2,77.477,
-13.91,-1212.9,78.289,
-13.967,-1292.9,79.165,
-14.833,-1377,80.04,
-15.791,-1458.4,80.587,
,,80.821,
-13.308,-1509.7,81.414,
-1.0044,-1398.5,82.461,
2.9509,-1297,83.524,
4.0578,-1210,84.351,
5.6649,-1122.7,85.335,
6.493,-1038.4,86.164,
6.9093,-959.61,87.038,
8.0264,-878.48,87.852,
8.6923,-802.76,88.663,
9.9281,-723.94,89.211,
10.433,-628.65,90.039,
9.7579,-550.4,90.851,
9.4262,-472.85,91.727,
9.2192,-392.81,92.539,
8.9108,-315.05,93.413,
8.5771,-233.11,94.227,
8.2061,-154.94,95.038,
7.5962,-75.862,95.914,
7.3234,4.4931,96.726,
7.0587,82.799,97.273,
7.1791,183.11,98.163,
7.3331,263.26,99.039,
7.9305,343.31,99.85,
9.6248,419.16,100.66,
,,100.88,
13.976,483.15,101.47,
5.617,429.26,102.35,
1.3202,350.31,103.16,
-0.4706154,273.19,103.97,
-0.6972867,192.24,104.85,
-1.1515,112.41,105.33,
-1.3236,42.578,105.99,
-2.315,-47.352,106.96,
-2.7478,-132.18,107.78,
-3.2458,-215.5,108.72,
-4.0622,-298.5,109.53,
-4.6289,-376.54,110.41,
-5.558,-456.63,111.22,
-6.2313,-533.7,112.03,
-7.1792,-614.63,112.91,
-7.9758,-694.44,113.45,
-9.2694,-788.66,114.28,
-10.265,-868.2,115.1,
-11.354,-946.47,115.97,
-12.862,-1026.6,116.78,
-13.79,-1104.4,117.6,
-13.972,-1183.6,118.47,
-14.066,-1263.7,119.28,
-14.212,-1340.6,120.16,
-15.079,-1423.7,120.97,
,,121.19,
-16.538,-1502,121.52,
-1.6297,-1419.9,122.6,
2.6926,-1314.6,123.66,
3.7442,-1229.3,124.55,
5.6694,-1136,125.53,
6.3967,-1050.8,126.42,
7.1549,-968.72,127.24,
7.7832,-891.5,128.05,
8.6934,-811.52,128.86,
9.9343,-733.91,129.74,
10.61,-653.05,130.22,
9.7507,-585.43,130.88,
9.4722,-508.51,131.67,
9.4233,-428.44,132.49,
9.101,-349.75,133.36,
8.7602,-270.98,134.17,
8.4734,-192.1,134.99,
7.8609,-113.8,135.86,
7.4528,-33.857,136.67,
7.0931,43.881,137.49,
6.9274,124.71,138.03,
7.2435,223.2,138.98,
7.389,303.57,139.8,
8.4074,384.16,140.61,
12.397,462.5,141.49,
,,141.7,
18.343,515.7,142.52,
2.8157,402.47,143.64,
-0.5204924,301.98,144.42,
-0.9248932,225.99,145.3,
-0.9668251,146.31,146.11,
-1.5114,67.504,146.66,
-2.1617,-27.922,147.49,
-2.7952,-117.53,148.47,
-3.4114,-206.37,149.42,
-4.1426,-290.68,150.31,
-5.1007,-375.29,151.17,
-5.8414,-456.74,152.05,
-6.6022,-537.73,152.86,
-7.2292,-615.35,153.67,
-8.0655,-696.04,154.55,
-9.1262,-776.25,155.03,
-9.7767,-845.25,155.69,
-11.213,-922.88,156.48,
-12.63,-1001,157.3,
-13.794,-1079.8,158.17,
-14.26,-1160,158.99,
-14.224,-1239.3,159.86,
-14.651,-1322.9,160.75,
-14.979,-1405,161.62,
,,161.86,
-16.355,-1488.3,162.5,
-4.4516,-1433,163.25,
2.5526,-1309.6,164.27,
3.5092,-1230,165.09,
5.3052,-1141.2,166.08,
6.2009,-1057.7,166.97,
6.9108,-975.77,167.84,
7.758,-894.02,168.66,
8.5507,-816.73,169.47,
9.804,-736.64,170.34,
10.502,-656.47,171.16,
10.107,-578.1,171.7,
9.8685,-484.2,172.53,
9.4628,-404.85,173.41,
9.1299,-324.23,174.22,
8.7803,-245.59,175.03,
8.269,-167.04,175.91,
7.8697,-86.948,176.72,
7.3666,-9.4167,177.53,
6.9729,70.281,178.41,
6.7486,148.97,179.26,
7.1962,237.63,179.87,
7.6794,336.7,180.7,
9.1601,414.3,181.59,
,,182.08,
15.73,494.5,182.41,
8.5766,454.51,183.22,
1.581,370.83,184.03,
-0.3519465,294.16,184.91,
-0.9677676,214.15,185.72,
-1.0231,136.64,186.59,
-1.5841,53.34,187.4,
-2.1843,-30.628,188.09,
-2.8356,-132.02,188.89,
-3.3439,-214.84,189.83,
-4.1828,-297.64,190.64,
-4.7767,-375.23,191.52,
-5.684,-455.11,192.33,
-6.5264,-533.82,193.14,
-7.2589,-613.86,194.01,
-7.9473,-692.82,194.83,
-8.8796,-773.44,195.7,
-10.119,-853.78,196.19,
-10.888,-923.07,196.84,
-12.556,-1000.4,197.64,
-13.835,-1078.7,198.45,
-14.202,-1157.4,199.33,
-14.362,-1237.6,200.14,
-14.373,-1315,200.95,
-14.788,-1394.6,201.83,
,,202.37,
,
