ACM Instruments v4 analysis (01/mar./2023 15:41)

File name,C:\Data\ELL\MnO2_sintetizado\MnO2_600mV_sint,
Test type,Cyclic sweep,
Instrument serial number,901,
Physical channel,3,
Sequence number,1,
ZRA Number,n/a,
Time and Date,15:37:29 01/mar./2023,
Data points,257,
Area (cm²),1,
Rest Potential (mV),Not recorded,
Metal,Mild Steel,
Metal factor,1159,
LPR (Ohm.cm²),35.224,
Ba (mV),120,
Bc (mV),120,
Icorr (mA/cm²),0.7405988,
Corrosion Rate (mm/year),8.5835,
Corrosion rate (mils/yr),337.93,
Intercept (mA/cm²),0,
Intercept corrosion rate (mm/year),0,
Intercept corrosion rate (mils/yr),0,
IR Compensation value (Ohm.cm²),N/A,
,
Current (mA/cm²),Potential (mV),Time (Sec),
-7.9091,-1490,0,
-0.5296096,-1408.1,1.125,
2.4096,-1321.2,1.8899,
4.0023,-1248.7,2.64,
6.1713,-1159.5,3.6399,
7.102,-1072.5,4.531,
7.8699,-991.04,5.3429,
8.4381,-913.44,6.218,
9.5851,-829.38,7.031,
10.16,-752.45,7.578,
11.112,-658.89,8.406,
11.289,-573.41,9.281,
10.717,-494.64,10.156,
10.426,-413.96,10.968,
10.078,-334.88,11.842,
9.8173,-254.73,12.655,
9.4268,-177.52,13.467,
8.9801,-97.536,14.343,
8.7,-17.249,15.155,
8.4154,61.074,15.702,
8.5155,157.05,16.529,
8.6041,238.54,17.358,
8.7283,311.44,18.202,
9.9855,394.51,19.093,
,,19.639,
14.759,476.08,19.967,
10.97,466.62,20.78,
2.9613,383.02,21.592,
0.6282847,302.73,22.468,
-0.6375279,222.12,23.28,
-0.9014822,138.02,23.936,
-1.5924,25.852,24.901,
-1.865,-52.27,25.697,
-2.7409,-140.36,26.698,
-3.4736,-230.08,27.65,
-4.0646,-313.75,28.464,
-4.7547,-392.93,29.338,
-5.7943,-475,30.182,
-6.4447,-553.41,31.056,
-7.4088,-636.23,31.87,
-8.1935,-714.68,32.353,
-8.4305,-782.15,33.009,
-9.6923,-859.5,33.807,
-11.044,-938.89,34.681,
-12.42,-1019.2,35.495,
-13.354,-1097.8,36.306,
-13.689,-1177.5,37.182,
-13.773,-1256.5,37.994,
-14.001,-1334.2,38.807,
-14.734,-1414.6,39.682,
,,39.901,
-16.375,-1495,40.165,
-7.6366,-1462.9,40.823,
-1.1095,-1384.7,41.619,
1.8467,-1307.6,42.431,
3.5749,-1228.9,43.244,
5.3571,-1140.1,44.229,
6.2071,-1056.3,45.072,
6.8567,-977.33,45.884,
7.6113,-901.1,46.713,
8.3279,-820.91,47.588,
9.6648,-738.95,48.072,
9.7882,-673.23,48.666,
9.9019,-597.22,49.524,
9.673,-514.59,50.338,
9.266,-436.29,51.212,
8.9848,-357.15,52.025,
8.7888,-278.28,52.837,
8.3262,-199.89,53.635,
7.923,-124.22,54.462,
7.5277,-48.691,55.275,
