ACM Instruments v4 analysis (01/mar./2023 15:35)

File name,C:\Data\ELL\MnO2_sintetizado\MnO2_600mV_sint,
Test type,Cyclic sweep,
Instrument serial number,901,
Physical channel,3,
Sequence number,1,
ZRA Number,n/a,
Time and Date,15:27:26 01/mar./2023,
Data points,493,
Area (cm²),1,
Rest Potential (mV),Not recorded,
Metal,Mild Steel,
Metal factor,1159,
LPR (Ohm.cm²),61.909,
Ba (mV),120,
Bc (mV),120,
Icorr (mA/cm²),0.4213726,
Corrosion Rate (mm/year),4.8837,
Corrosion rate (mils/yr),192.27,
Intercept (mA/cm²),0,
Intercept corrosion rate (mm/year),0,
Intercept corrosion rate (mils/yr),0,
IR Compensation value (Ohm.cm²),N/A,
,
Current (mA/cm²),Potential (mV),Time (Sec),
-8.4649,-1494.8,0,
-4.8004,-1457.8,0.8900003,
-2.0034,-1414.6,1.7649,
-0.946374,-1380.6,2.515,
0.4166355,-1341.4,3.343,
1.4753,-1297.2,4.328,
2.4775,-1248.8,5.3279,
2.8833,-1202.8,6.328,
3.2616,-1158.8,7.2179,
3.6737,-1116.7,7.703,
3.562,-1082.9,8.359,
4.197,-1041.2,9.218,
4.386,-1001.7,10.031,
4.4944,-962.46,10.906,
4.8433,-921.49,11.717,
4.9391,-882.05,12.531,
5.1132,-843.98,13.359,
5.2332,-806.08,14.171,
5.4674,-765.76,15.046,
5.7336,-725.18,15.545,
5.6049,-690.2,16.201,
5.8231,-651.57,16.999,
5.8604,-612.33,17.812,
5.7912,-572.97,18.685,
5.8171,-533,19.499,
5.7757,-494.14,20.31,
5.6994,-454.35,21.186,
5.671,-414.27,21.998,
5.5849,-375.66,22.874,
5.525,-334.13,23.358,
5.2648,-299.45,24.014,
5.1687,-261.36,24.811,
5.0222,-221.95,25.624,
4.8421,-182.42,26.499,
4.6455,-142.95,27.311,
4.57,-103.46,28.124,
4.4028,-64.431,28.999,
4.2445,-23.564,29.873,
4.1686,17.736,30.686,
4.1924,58.891,31.232,
4.2767,107.39,32.123,
4.3405,146.88,32.997,
4.6275,187.34,33.811,
4.7043,225.97,34.623,
4.9047,265.66,35.498,
5.1526,305.15,36.31,
5.4982,344.06,37.123,
6.113,384.21,37.889,
7.5454,420.56,38.764,
9.9045,460.89,39.295,
,,39.545,
12.362,493.47,40.191,
5.9352,452.47,41.082,
2.7208,411.28,41.895,
1.5126,372.06,42.707,
0.8567002,333.86,43.581,
0.2136686,294.33,44.395,
-0.9880021,242.62,45.862,
-0.4770164,176.29,47.034,
-0.5830588,124.03,48.035,
-0.7088985,78.568,48.598,
-0.8446576,30.696,49.425,
-0.9496338,-7.3817,50.238,
-1.1772,-46.986,51.05,
-1.3147,-88.352,51.988,
-1.5846,-134.08,52.972,
-1.7298,-178.59,54.082,
-2.0542,-231.31,54.988,
-2.1344,-272.22,55.863,
-2.3904,-313.1,56.674,
