ACM Instruments v4 analysis (03/mar./2023 14:20)

File name,C:\Data\ELL\MnO2_sintetizado\MnO2_600mV_sint,
Test type,Cyclic sweep,
Instrument serial number,901,
Physical channel,3,
Sequence number,1,
ZRA Number,n/a,
Time and Date,14:09:57 03/mar./2023,
Data points,492,
Area (cm²),1,
Rest Potential (mV),Not recorded,
Metal,Mild Steel,
Metal factor,1159,
LPR (Ohm.cm²),52.513,
Ba (mV),120,
Bc (mV),120,
Icorr (mA/cm²),0.4967675,
Corrosion Rate (mm/year),5.7575,
Corrosion rate (mils/yr),226.67,
Intercept (mA/cm²),0,
Intercept corrosion rate (mm/year),0,
Intercept corrosion rate (mils/yr),0,
IR Compensation value (Ohm.cm²),N/A,
,
Current (mA/cm²),Potential (mV),Time (Sec),
-11.477,-1494.8,0,
-5.2962,-1458.1,0.8750003,
-1.3603,-1415.1,1.828,
0.0896216,-1378.1,2.578,
1.6923,-1338.5,3.3899,
2.939,-1294.8,4.39,
4.0382,-1247.4,5.39,
4.1558,-1202.9,6.281,
4.4897,-1159.8,7.171,
4.9554,-1119.2,7.656,
4.7719,-1084.6,8.312,
5.6287,-1043,9.1709,
5.5232,-1004.1,9.984,
5.6073,-964.63,10.858,
5.9012,-924.47,11.717,
6.0301,-882.7,12.546,
5.8884,-843.27,13.342,
6.0691,-805.34,14.108,
6.0612,-768.71,14.982,
6.3854,-728.18,15.53,
6.5152,-681.6,16.358,
6.342,-642.61,17.218,
6.373,-601.18,18.029,
6.3137,-562.39,18.858,
6.2048,-524.27,19.717,
6.1666,-482.42,20.608,
6.0173,-441.29,21.467,
5.8064,-399.63,22.296,
5.6265,-359.07,23.17,
5.5442,-318.88,23.655,
5.1784,-284.57,24.311,
5.1489,-245.22,25.108,
4.9464,-206.02,25.919,
4.783,-167.2,26.795,
4.649,-127,27.608,
4.5196,-86.712,28.467,
4.2633,-47.634,29.279,
4.2896,-7.6289,30.108,
4.0945,29.363,30.967,
4.2648,71.836,31.53,
4.5863,122.99,32.419,
4.704,162.04,33.295,
4.9956,202.06,34.107,
5.2328,241.49,34.967,
5.5452,283.22,35.857,
5.9378,324.33,36.732,
6.5067,365.29,37.545,
7.7467,403.63,38.42,
9.7536,445.33,39.232,
14.086,484.49,39.763,
,,40.014,
18.708,503.84,40.889,
5.0076,442.64,41.731,
2.0935,394.95,42.779,
1.2232,352.46,43.592,
0.6448546,313.81,44.42,
-0.0142638,274.88,45.451,
-0.4264218,221.32,46.403,
-0.4067377,175.42,47.404,
-0.4559091,132.74,48.294,
-0.7306747,90.118,48.841,
-1.0034,40.458,49.748,
-1.1225,-0.2231734,50.544,
-1.4221,-44.402,51.544,
-1.5256,-86.387,52.372,
-1.6712,-128.07,53.246,
-1.8203,-167.83,54.122,
-2.1147,-208.89,55.216,
-2.4437,-260.51,56.106,
-2.6859,-302.73,56.982,
-3.0574,-345.64,57.528,
-3.3536,-392.73,58.419,
-3.5684,-434.65,59.293,
-3.8994,-476.78,60.185,
